property_id,ward_id,ward_name,zone,lat,lng,address,pincode,property_type,area_sqm,snapshot_year,s3_geojson_key
GVMC-001-0006,1,Bheemunipatnam,Bheemunipatnam,17.875798,83.398736,"D.No 38, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,46,2022,mock/ward-1/GVMC-001-0006-2022.json
GVMC-001-0007,1,Bheemunipatnam,Bheemunipatnam,17.833951,83.414792,"D.No 6-1, Market Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,359,2022,mock/ward-1/GVMC-001-0007-2022.json
GVMC-001-0008,1,Bheemunipatnam,Bheemunipatnam,17.799673,83.422363,"D.No 18-9, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,351,2022,mock/ward-1/GVMC-001-0008-2022.json
GVMC-001-0010,1,Bheemunipatnam,Bheemunipatnam,17.861593,83.448584,"D.No 43, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,254,2022,mock/ward-1/GVMC-001-0010-2022.json
GVMC-001-0011,1,Bheemunipatnam,Bheemunipatnam,17.855362,83.409658,"D.No 28-9, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Industrial,246,2022,mock/ward-1/GVMC-001-0011-2022.json
GVMC-001-0012,1,Bheemunipatnam,Bheemunipatnam,17.784164,83.420952,"D.No 9, Market Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,287,2022,mock/ward-1/GVMC-001-0012-2022.json
GVMC-001-0017,1,Bheemunipatnam,Bheemunipatnam,17.798774,83.436884,"D.No 6, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,286,2022,mock/ward-1/GVMC-001-0017-2022.json
GVMC-001-0020,1,Bheemunipatnam,Bheemunipatnam,17.859004,83.425776,"D.No 14, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,328,2022,mock/ward-1/GVMC-001-0020-2022.json
GVMC-001-0022,1,Bheemunipatnam,Bheemunipatnam,17.821503,83.382229,"D.No 21-8, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,393,2022,mock/ward-1/GVMC-001-0022-2022.json
GVMC-001-0024,1,Bheemunipatnam,Bheemunipatnam,17.882239,83.380207,"D.No 12, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,353,2022,mock/ward-1/GVMC-001-0024-2022.json
GVMC-001-0025,1,Bheemunipatnam,Bheemunipatnam,17.880662,83.45414,"D.No 26-1, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,397,2022,mock/ward-1/GVMC-001-0025-2022.json
GVMC-001-0026,1,Bheemunipatnam,Bheemunipatnam,17.781711,83.419545,"D.No 12-8, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Industrial,195,2022,mock/ward-1/GVMC-001-0026-2022.json
GVMC-001-0028,1,Bheemunipatnam,Bheemunipatnam,17.792242,83.435077,"D.No 7-2, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,178,2022,mock/ward-1/GVMC-001-0028-2022.json
GVMC-001-0034,1,Bheemunipatnam,Bheemunipatnam,17.866569,83.379482,"D.No 35, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,89,2022,mock/ward-1/GVMC-001-0034-2022.json
GVMC-001-0035,1,Bheemunipatnam,Bheemunipatnam,17.79358,83.454005,"D.No 40, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,332,2022,mock/ward-1/GVMC-001-0035-2022.json
GVMC-001-0038,1,Bheemunipatnam,Bheemunipatnam,17.852251,83.400911,"D.No 44-5, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,179,2022,mock/ward-1/GVMC-001-0038-2022.json
GVMC-001-0039,1,Bheemunipatnam,Bheemunipatnam,17.874673,83.381009,"D.No 1-3, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,181,2022,mock/ward-1/GVMC-001-0039-2022.json
GVMC-001-0042,1,Bheemunipatnam,Bheemunipatnam,17.825414,83.429386,"D.No 37, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,400,2022,mock/ward-1/GVMC-001-0042-2022.json
GVMC-001-0044,1,Bheemunipatnam,Bheemunipatnam,17.800614,83.37609,"D.No 20, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,240,2022,mock/ward-1/GVMC-001-0044-2022.json
GVMC-001-0050,1,Bheemunipatnam,Bheemunipatnam,17.811298,83.411594,"D.No 29, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,189,2022,mock/ward-1/GVMC-001-0050-2022.json
GVMC-001-0052,1,Bheemunipatnam,Bheemunipatnam,17.784947,83.389036,"D.No 8-1, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Mixed Use,203,2022,mock/ward-1/GVMC-001-0052-2022.json
GVMC-001-0054,1,Bheemunipatnam,Bheemunipatnam,17.881172,83.383486,"D.No 42, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,168,2022,mock/ward-1/GVMC-001-0054-2022.json
GVMC-001-0057,1,Bheemunipatnam,Bheemunipatnam,17.846665,83.412299,"D.No 40-3, Nagar Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,190,2022,mock/ward-1/GVMC-001-0057-2022.json
GVMC-001-0058,1,Bheemunipatnam,Bheemunipatnam,17.8932,83.44202,"D.No 24, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,271,2022,mock/ward-1/GVMC-001-0058-2022.json
